timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-10-07T00:00:00.000Z";"2025-10-07T23:59:59.999Z";"2025-10-07T12:58:00.000Z";"2025-10-07T18:30:00.000Z";"2781";124752.1397236547;125184.0258285151;120681.9718447671;121451.3790703267;76149412513.03;2420648589010.21;"2025-10-07T23:59:59.999Z"
"2025-10-06T00:00:00.000Z";"2025-10-06T23:59:59.999Z";"2025-10-06T18:59:00.000Z";"2025-10-06T00:56:00.000Z";"2781";123510.4499683878;126198.0696034339;123196.0489024402;124752.5283520974;72568881188.34;2486340085205.98;"2025-10-06T23:59:59.999Z"
"2025-10-05T00:00:00.000Z";"2025-10-05T23:59:59.999Z";"2025-10-05T04:53:00.000Z";"2025-10-05T01:24:00.000Z";"2781";122419.6706881838;125559.2087470555;122191.9581408905;123513.4737139671;73689317763.05;2461341319591.38;"2025-10-05T23:59:59.999Z"
"2025-10-04T00:00:00.000Z";"2025-10-04T23:59:59.999Z";"2025-10-04T05:27:00.000Z";"2025-10-04T18:57:00.000Z";"2781";122267.4697710939;122857.6402020046;121577.5714027949;122425.4287295425;36769171734.75;2439604048667.28;"2025-10-04T23:59:59.999Z"
"2025-10-03T00:00:00.000Z";"2025-10-03T23:59:59.999Z";"2025-10-03T16:38:00.000Z";"2025-10-03T08:19:00.000Z";"2781";120656.9820226288;123944.7049588617;119344.3110051809;122266.5327281923;83941392228.12;2436570957894.73;"2025-10-03T23:59:59.999Z"
"2025-10-02T00:00:00.000Z";"2025-10-02T23:59:59.999Z";"2025-10-02T19:16:00.000Z";"2025-10-02T06:03:00.000Z";"2781";118652.3858956064;121086.4072410014;118383.158156396;120681.2597233421;71415163911.62;2404476831114.3;"2025-10-02T23:59:59.999Z"
"2025-10-01T00:00:00.000Z";"2025-10-01T23:59:59.999Z";"2025-10-01T23:59:00.000Z";"2025-10-01T00:28:00.000Z";"2781";114057.5921833042;118648.9285878715;113981.3959687741;118648.9285878715;71328680131.6;2364528832561.99;"2025-10-01T23:59:59.999Z"
"2025-09-30T00:00:00.000Z";"2025-09-30T23:59:59.999Z";"2025-09-30T01:16:00.000Z";"2025-09-30T10:04:00.000Z";"2781";114396.5202405992;114836.6154245154;112740.5647473063;114056.0836474993;58986330258.25;2272962850720.1;"2025-09-30T23:59:59.999Z"
"2025-09-29T00:00:00.000Z";"2025-09-29T23:59:59.999Z";"2025-09-29T20:45:00.000Z";"2025-09-29T07:27:00.000Z";"2781";112117.8787939277;114473.5698924135;111589.9506804949;114400.3864282159;60000147465.61;2279698774405.04;"2025-09-29T23:59:59.999Z"
"2025-09-28T00:00:00.000Z";"2025-09-28T23:59:59.999Z";"2025-09-28T23:10:00.000Z";"2025-09-28T12:50:00.000Z";"2781";109681.9472995241;112375.4821431246;109236.9477444889;112122.6391506148;33371048505.29;2234220620825.09;"2025-09-28T23:59:59.999Z"
"2025-09-27T00:00:00.000Z";"2025-09-27T23:59:59.999Z";"2025-09-27T04:35:00.000Z";"2025-09-27T09:29:00.000Z";"2781";109707.1410183108;109778.4989171804;109144.293006297;109681.9424831994;26308042910.14;2185641706167.04;"2025-09-27T23:59:59.999Z"
"2025-09-26T00:00:00.000Z";"2025-09-26T23:59:59.999Z";"2025-09-26T18:28:00.000Z";"2025-09-26T11:20:00.000Z";"2781";109041.2945010783;110359.1940689565;108728.9779668343;109712.831518274;57738288948.87;2186093717136.85;"2025-09-26T23:59:59.999Z"
"2025-09-25T00:00:00.000Z";"2025-09-25T23:59:59.999Z";"2025-09-25T00:09:00.000Z";"2025-09-25T18:02:00.000Z";"2781";113330.1657194348;113541.0870248223;108713.3961781124;109049.2879570017;75528654283.63;2172778969611.28;"2025-09-25T23:59:59.999Z"
"2025-09-24T00:00:00.000Z";"2025-09-24T23:59:59.999Z";"2025-09-24T17:43:00.000Z";"2025-09-24T04:13:00.000Z";"2781";112007.6665159038;113986.2712296583;111229.6388187999;113328.6304088566;48044595084.74;2258188096263.37;"2025-09-24T23:59:59.999Z"
"2025-09-23T00:00:00.000Z";"2025-09-23T23:59:59.999Z";"2025-09-23T09:12:00.000Z";"2025-09-23T20:37:00.000Z";"2781";112757.4755546424;113351.9119799029;111535.5672804001;112014.4996765164;47211853278.67;2231784565506.68;"2025-09-23T23:59:59.999Z"
"2025-09-22T00:00:00.000Z";"2025-09-22T23:59:59.999Z";"2025-09-22T00:13:00.000Z";"2025-09-22T19:47:00.000Z";"2781";115309.222122245;115431.3090850724;112037.6446900417;112748.5056232456;70684158591.15;2246673306140.46;"2025-09-22T23:59:59.999Z"
"2025-09-21T00:00:00.000Z";"2025-09-21T23:59:59.999Z";"2025-09-21T08:02:00.000Z";"2025-09-21T22:23:00.000Z";"2781";115730.2258386475;115901.0895538419;115252.5800841244;115306.097161289;22495852193.17;2297339763871.24;"2025-09-21T23:59:59.999Z"
